topic,top_terms
0,"nation; countri; develop; intern; unit; peac; unit nation; peopl; africa; secur"
1,"countri; nation; develop; intern; unit; world; unit nation; africa; nigeria; peac"
2,"nation; countri; african; intern; unit; africa; unit nation; peac; state; develop"
3,"peopl; intern; countri; nation; world; unit; peac; develop; unit nation; econom"
4,"nation; countri; unit; develop; africa; peopl; intern; unit nation; tanzania; world"
5,"nation; intern; countri; unit; develop; peac; terror; unit nation; secur; world"
6,"liberia; nation; peac; unit; liberian; unit nation; govern; intern; peopl; world"
7,"countri; intern; nation; guinea; peopl; develop; peac; unit; govern; state"
8,"peopl; world; countri; peac; nation; intern; develop; must; state; unit"
9,"peopl; state; intern; egypt; nation; peac; countri; secur; right; unit"
10,"burundi; countri; nation; peopl; govern; peac; intern; develop; unit; unit nation"
11,"gabon; countri; nation; intern; unit; peac; unit nation; develop; africa; state"
12,"nation; develop; unit; unit nation; countri; intern; peac; secur; world; reform"
13,"countri; intern; nation; develop; unit; peac; state; africa; unit nation; econom"
14,"malawi; develop; govern; nation; unit; countri; unit nation; deleg; peopl; peac"
15,"develop; nation; countri; climatechang; unit; unit nation; world; intern; must; us"
16,"tunisia; countri; intern; world; develop; peac; nation; peopl; arab; problem"
17,"countri; intern; nation; develop; peopl; unit; world; state; unit nation; peac"
18,"benin; countri; develop; peopl; intern; nation; peac; unit; world; africa"
19,"somalia; govern; nation; somali; intern; peopl; unit; world; peac; unit nation"
20,"intern; peopl; countri; nation; unit; develop; world; unit nation; peac; econom"
21,"uganda; countri; nation; develop; unit; africa; intern; unit nation; world; peac"
22,"ghana; nation; develop; countri; unit; unit nation; intern; africa; peac; world"
23,"cameroon; intern; nation; unit; develop; peac; countri; unit nation; must; world"
24,"angola; peopl; angolan; govern; countri; intern; unita; nation; republ angola; republ"
25,"zambia; nation; develop; unit; countri; africa; unit nation; intern; continu; world"
26,"intern; state; countri; nation; peac; peopl; world; unit; unit nation; develop"
27,"mauritania; countri; develop; intern; peopl; nation; secur; effort; peac; islam republ mauritania"
28,"rwanda; countri; peopl; nation; intern; world; republ; unit; unit nation; develop"
29,"madagascar; intern; countri; develop; nation; us; econom; would; peopl; state"
30,"kenya; nation; develop; unit; unit nation; intern; africa; peac; countri; african"
31,"mauritius; nation; world; develop; countri; unit; state; unit nation; peac; intern"
32,"botswana; africa; nation; unit; countri; develop; unit nation; peac; intern; south"
33,"develop; nation; countri; must; unit; global; unit nation; goal; secur; agenda"
34,"mali; develop; intern; countri; peac; nation; peopl; unit; secur; unit nation"
35,"sudan; intern; south sudan; state; peac; countri; nation; unit; secur; develop"
36,"morocco; intern; countri; nation; develop; peac; peopl; region; cooper; state"
37,"lesotho; africa; south; nation; develop; countri; unit; south africa; unit nation; intern"
38,"countri; intern; peopl; peac; develop; nation; world; econom; africa; right"
39,"countri; nation; world; africa; unit; develop; intern; unit nation; peac; peopl"
40,"intern; nation; countri; develop; econom; unit; peopl; must; world; secur"
41,"burkinafaso; nation; develop; intern; unit; unit nation; peac; african; peopl; world"
42,"countri; intern; nation; develop; peopl; peac; africa; unit; econom; unit nation"
43,"nation; intern; countri; develop; unit; peac; unit nation; new; world; communiti"
44,"food; develop; nation; secur; countri; intern; food crisi; crisi; global; agricultur"
45,"chad; countri; intern; peac; govern; state; nation; chadian; libya; peopl"
46,"nation; countri; unit; intern; peac; unit nation; develop; state; organ; reform"
47,"sierraleon; intern; nation; countri; govern; peac; develop; unit; communiti; state"
48,"eritrea; ethiopia; unit; nation; peac; unit nation; eritrean; intern; agreement; peopl"
49,"peopl; nation; world; africa; countri; human; unit; unit nation; develop; intern"
50,"swaziland; kingdom swaziland; kingdom; nation; develop; unit; unit nation; support; world; peopl"
51,"intern; peac; countri; nation; organ; develop; peopl; continu; unit; africa"
52,"countri; intern; nation; state; unit; econom; develop; continu; peac; peopl"
