topic,top_terms,source_interpretation
0,"south; namibia; apartheid; problem; developing; nuclear; regime; resolution; situation; operation","Apartheid / Southern Africa"
1,"global; sustainable; challenge; 2015; goal; reform; millennium; terrorism; poverty; council","Global development / MDGs-SDG transition"
2,"guinea; equatorial; bissau; government; republic; political; right; human; guinean; respect","Guinea-region governance and human rights"
3,"morocco; tunisia; arab; egypt; palestinian; right; maghreb; region; algeria; mediterranean","North Africa / Arab-Maghreb politics"
4,"swaziland; kingdom; majesty; swazi; taiwan; king; china; mswati; delegation; member","Swaziland/Eswatini monarchy and diplomacy"
5,"ethiopia; somalia; eritrea; somali; sudan; ethiopian; eritrean; government; igad; kenya","Horn of Africa conflict and regional cooperation"
6,"power; problem; independence; struggle; right; regime; south; wa; republic; territory","Independence and political struggle"
7,"malawi; government; delegation; hiv; food; problem; malawian; aids; taiwan; mozambique","Health, food and Malawi development"
8,"chad; libya; chadian; libyan; sudan; government; central; republic; situation; darfur","Chad-Libya-Sudan / Darfur security"
9,"burundi; republic; rwanda; government; congo; new; conflict; democratic; political; niger","Great Lakes conflict and governance"
